"Nombre","URL"
"Aarakocra (Athas)","https://adnd2e.fandom.com/wiki/Aarakocra_(Athas)"
"Aarakocra (Creature)","https://adnd2e.fandom.com/wiki/Aarakocra_(Creature)"
"Aarakocra, Malatran","https://adnd2e.fandom.com/wiki/Aarakocra,_Malatran"
"Aartuk","https://adnd2e.fandom.com/wiki/Aartuk"
"Aasimar (Creature)","https://adnd2e.fandom.com/wiki/Aasimar_(Creature)"
"Aasimon (MM)","https://adnd2e.fandom.com/wiki/Aasimon_(MM)"
"Aballin","https://adnd2e.fandom.com/wiki/Aballin"
"Abhir","https://adnd2e.fandom.com/wiki/Abhir"
"Abiorach","https://adnd2e.fandom.com/wiki/Abiorach"
"Abishai","https://adnd2e.fandom.com/wiki/Abishai"
"Aboleth","https://adnd2e.fandom.com/wiki/Aboleth"
"Abomination of Diirinka","https://adnd2e.fandom.com/wiki/Abomination_of_Diirinka"
"Abrian","https://adnd2e.fandom.com/wiki/Abrian"
"Absalom","https://adnd2e.fandom.com/wiki/Absalom"
"Abyss Ant","https://adnd2e.fandom.com/wiki/Abyss_Ant"
"Achaierai","https://adnd2e.fandom.com/wiki/Achaierai"
"Acid Pigeon","https://adnd2e.fandom.com/wiki/Acid_Pigeon"
"Actaeon","https://adnd2e.fandom.com/wiki/Actaeon"
"Adamantite Dragon","https://adnd2e.fandom.com/wiki/Adamantite_Dragon"
"Addazahr","https://adnd2e.fandom.com/wiki/Addazahr"
"Adherer","https://adnd2e.fandom.com/wiki/Adherer"
"Administrator Genie","https://adnd2e.fandom.com/wiki/Administrator_Genie"
"Aerial Servant (Creatures)","https://adnd2e.fandom.com/wiki/Aerial_Servant_(Creatures)"
"Aeserpent","https://adnd2e.fandom.com/wiki/Aeserpent"
"Afanc","https://adnd2e.fandom.com/wiki/Afanc"
"Agarat","https://adnd2e.fandom.com/wiki/Agarat"
"Agathinon","https://adnd2e.fandom.com/wiki/Agathinon"
"Agony Beetle","https://adnd2e.fandom.com/wiki/Agony_Beetle"
"Agrutha","https://adnd2e.fandom.com/wiki/Agrutha"
"Ahuizotl","https://adnd2e.fandom.com/wiki/Ahuizotl"
"Air Dragon","https://adnd2e.fandom.com/wiki/Air_Dragon"
"Air Drake","https://adnd2e.fandom.com/wiki/Air_Drake"
"Air Elemental","https://adnd2e.fandom.com/wiki/Air_Elemental"
"Air Elemental Beast","https://adnd2e.fandom.com/wiki/Air_Elemental_Beast"
"Air Mephit","https://adnd2e.fandom.com/wiki/Air_Mephit"
"Air Sentinel","https://adnd2e.fandom.com/wiki/Air_Sentinel"
"Air/Earth Elemental of Chaos","https://adnd2e.fandom.com/wiki/Air/Earth_Elemental_of_Chaos"
"Air/Earth Elemental of Law","https://adnd2e.fandom.com/wiki/Air/Earth_Elemental_of_Law"
"Air/Earth Fundamental","https://adnd2e.fandom.com/wiki/Air/Earth_Fundamental"
"Air-Kin","https://adnd2e.fandom.com/wiki/Air-Kin"
"Akikage","https://adnd2e.fandom.com/wiki/Akikage"
"Alaghi (Creature)","https://adnd2e.fandom.com/wiki/Alaghi_(Creature)"
"Albari","https://adnd2e.fandom.com/wiki/Albari"
"Albino Crocodile","https://adnd2e.fandom.com/wiki/Albino_Crocodile"
"Albino Wyrm","https://adnd2e.fandom.com/wiki/Albino_Wyrm"
"Alchemy Plant","https://adnd2e.fandom.com/wiki/Alchemy_Plant"
"Aleax","https://adnd2e.fandom.com/wiki/Aleax"
"Algoid","https://adnd2e.fandom.com/wiki/Algoid"
"Alguduir","https://adnd2e.fandom.com/wiki/Alguduir"
"Alhoon","https://adnd2e.fandom.com/wiki/Alhoon"
"Alicorn","https://adnd2e.fandom.com/wiki/Alicorn"
"Alkilith","https://adnd2e.fandom.com/wiki/Alkilith"
"Allura","https://adnd2e.fandom.com/wiki/Allura"
"Al-mi'raj","https://adnd2e.fandom.com/wiki/Al-mi'raj"
"Alu-Fiend","https://adnd2e.fandom.com/wiki/Alu-Fiend"
"Alven","https://adnd2e.fandom.com/wiki/Alven"
"Amber Dragon","https://adnd2e.fandom.com/wiki/Amber_Dragon"
"Amethyst Dragon (Creature)","https://adnd2e.fandom.com/wiki/Amethyst_Dragon_(Creature)"
"Amiq Rasol","https://adnd2e.fandom.com/wiki/Amiq_Rasol"
"Ammut","https://adnd2e.fandom.com/wiki/Ammut"
"Amnizu","https://adnd2e.fandom.com/wiki/Amnizu"
"Amphi Dragon","https://adnd2e.fandom.com/wiki/Amphi_Dragon"
"Amphibian (Poisonous)","https://adnd2e.fandom.com/wiki/Amphibian_(Poisonous)"
"Amphitere","https://adnd2e.fandom.com/wiki/Amphitere"
"Anadjiin","https://adnd2e.fandom.com/wiki/Anadjiin"
"Anakore","https://adnd2e.fandom.com/wiki/Anakore"
"Ancestors","https://adnd2e.fandom.com/wiki/Ancestors"
"Ancient Mariner","https://adnd2e.fandom.com/wiki/Ancient_Mariner"
"Andeloid","https://adnd2e.fandom.com/wiki/Andeloid"
"Angler Fish","https://adnd2e.fandom.com/wiki/Angler_Fish"
"Angreden","https://adnd2e.fandom.com/wiki/Angreden"
"Anguiliian","https://adnd2e.fandom.com/wiki/Anguiliian"
"Animal (Cenozoic)","https://adnd2e.fandom.com/wiki/Animal_(Cenozoic)"
"Animal (Pleistocene)","https://adnd2e.fandom.com/wiki/Animal_(Pleistocene)"
"Animal Ghost","https://adnd2e.fandom.com/wiki/Animal_Ghost"
"Animal Lord","https://adnd2e.fandom.com/wiki/Animal_Lord"
"Animator","https://adnd2e.fandom.com/wiki/Animator"
"Animental","https://adnd2e.fandom.com/wiki/Animental"
"Animus","https://adnd2e.fandom.com/wiki/Animus"
"Ankheg","https://adnd2e.fandom.com/wiki/Ankheg"
"Ankou","https://adnd2e.fandom.com/wiki/Ankou"
"An-Ur","https://adnd2e.fandom.com/wiki/An-Ur"
"Aoskian Hound","https://adnd2e.fandom.com/wiki/Aoskian_Hound"
"Aperusa","https://adnd2e.fandom.com/wiki/Aperusa"
"Apodalypse","https://adnd2e.fandom.com/wiki/Apodalypse"
"Apparition (Creature)","https://adnd2e.fandom.com/wiki/Apparition_(Creature)"
"Aquatic Dwarf","https://adnd2e.fandom.com/wiki/Aquatic_Dwarf"
"Aquatic Elf (Creature)","https://adnd2e.fandom.com/wiki/Aquatic_Elf_(Creature)"
"Aquatic Lernean Hydra","https://adnd2e.fandom.com/wiki/Aquatic_Lernean_Hydra"
"Aquatic Remnant","https://adnd2e.fandom.com/wiki/Aquatic_Remnant"
"Arak","https://adnd2e.fandom.com/wiki/Arak"
"Aranea (Creature)","https://adnd2e.fandom.com/wiki/Aranea_(Creature)"
"Arashaeem","https://adnd2e.fandom.com/wiki/Arashaeem"
"Arayashka","https://adnd2e.fandom.com/wiki/Arayashka"
"Arcanaloth","https://adnd2e.fandom.com/wiki/Arcanaloth"
"Arcane","https://adnd2e.fandom.com/wiki/Arcane"
"Arcane Head","https://adnd2e.fandom.com/wiki/Arcane_Head"
"Arcanosheen (Living Machine)","https://adnd2e.fandom.com/wiki/Arcanosheen_(Living_Machine)"
"Archer Frog","https://adnd2e.fandom.com/wiki/Archer_Frog"
"Archer Skeleton","https://adnd2e.fandom.com/wiki/Archer_Skeleton"
"Archlich","https://adnd2e.fandom.com/wiki/Archlich"
"Archomental (Evil)","https://adnd2e.fandom.com/wiki/Archomental_(Evil)"
"Archomental (Good)","https://adnd2e.fandom.com/wiki/Archomental_(Good)"
"Archon","https://adnd2e.fandom.com/wiki/Archon"
"Arch-Shadow","https://adnd2e.fandom.com/wiki/Arch-Shadow"
"Argenach","https://adnd2e.fandom.com/wiki/Argenach"
"Argos","https://adnd2e.fandom.com/wiki/Argos"
"Armadillephant","https://adnd2e.fandom.com/wiki/Armadillephant"
"Armanite","https://adnd2e.fandom.com/wiki/Armanite"
"Arsalon (Greater Drake)","https://adnd2e.fandom.com/wiki/Arsalon_(Greater_Drake)"
"Arthropod","https://adnd2e.fandom.com/wiki/Arthropod"
"Ascallion","https://adnd2e.fandom.com/wiki/Ascallion"
"Ash & Chitin Golem","https://adnd2e.fandom.com/wiki/Ash_&_Chitin_Golem"
"Ash Crawler","https://adnd2e.fandom.com/wiki/Ash_Crawler"
"Ash Mephit","https://adnd2e.fandom.com/wiki/Ash_Mephit"
"Ashiera (Creature)","https://adnd2e.fandom.com/wiki/Ashiera_(Creature)"
"Ashira","https://adnd2e.fandom.com/wiki/Ashira"
"Asperii","https://adnd2e.fandom.com/wiki/Asperii"
"Aspis","https://adnd2e.fandom.com/wiki/Aspis"
"Asrai","https://adnd2e.fandom.com/wiki/Asrai"
"Assassin Imp","https://adnd2e.fandom.com/wiki/Assassin_Imp"
"Astereater","https://adnd2e.fandom.com/wiki/Astereater"
"Asteroid Spider","https://adnd2e.fandom.com/wiki/Asteroid_Spider"
"Astral Deva (Creature)","https://adnd2e.fandom.com/wiki/Astral_Deva_(Creature)"
"Astral Dragon (Creature)","https://adnd2e.fandom.com/wiki/Astral_Dragon_(Creature)"
"Astral Dreadnought (Creature)","https://adnd2e.fandom.com/wiki/Astral_Dreadnought_(Creature)"
"Astral Searcher (Creature)","https://adnd2e.fandom.com/wiki/Astral_Searcher_(Creature)"
"Astral Streaker (Creature)","https://adnd2e.fandom.com/wiki/Astral_Streaker_(Creature)"
"Astral Whale (Creature)","https://adnd2e.fandom.com/wiki/Astral_Whale_(Creature)"
"Astral Wolf","https://adnd2e.fandom.com/wiki/Astral_Wolf"
"Astrosphinx","https://adnd2e.fandom.com/wiki/Astrosphinx"
"Asuras","https://adnd2e.fandom.com/wiki/Asuras"
"Athach","https://adnd2e.fandom.com/wiki/Athach"
"Audreeana","https://adnd2e.fandom.com/wiki/Audreeana"
"Aurak","https://adnd2e.fandom.com/wiki/Aurak"
"Aurumach","https://adnd2e.fandom.com/wiki/Aurumach"
"Aurumvorax","https://adnd2e.fandom.com/wiki/Aurumvorax"
"Autognome","https://adnd2e.fandom.com/wiki/Autognome"
"Avanc","https://adnd2e.fandom.com/wiki/Avanc"
"Avangion","https://adnd2e.fandom.com/wiki/Avangion"
"Avariel (Creature)","https://adnd2e.fandom.com/wiki/Avariel_(Creature)"
"Averx","https://adnd2e.fandom.com/wiki/Averx"
"Aviarag","https://adnd2e.fandom.com/wiki/Aviarag"
"Avoral","https://adnd2e.fandom.com/wiki/Avoral"
"Azer","https://adnd2e.fandom.com/wiki/Azer"
"Baatezu (MM)","https://adnd2e.fandom.com/wiki/Baatezu_(MM)"
"Baatezu (Planescape)","https://adnd2e.fandom.com/wiki/Baatezu_(Planescape)"
"Baatezu, Lord, Minauros the Serptent","https://adnd2e.fandom.com/wiki/Baatezu,_Lord,_Minauros_the_Serptent"
"Baaz","https://adnd2e.fandom.com/wiki/Baaz"
"Baazrag","https://adnd2e.fandom.com/wiki/Baazrag"
"Baba Yaga","https://adnd2e.fandom.com/wiki/Baba_Yaga"
"Babau","https://adnd2e.fandom.com/wiki/Babau"
"Baboon","https://adnd2e.fandom.com/wiki/Baboon"
"Bacar","https://adnd2e.fandom.com/wiki/Bacar"
"Bacchae","https://adnd2e.fandom.com/wiki/Bacchae"
"Badger","https://adnd2e.fandom.com/wiki/Badger"
"Baelnorn","https://adnd2e.fandom.com/wiki/Baelnorn"
"Baernaloth","https://adnd2e.fandom.com/wiki/Baernaloth"
"Bainligor","https://adnd2e.fandom.com/wiki/Bainligor"
"Bajang","https://adnd2e.fandom.com/wiki/Bajang"
"Bakemono","https://adnd2e.fandom.com/wiki/Bakemono"
"Bakhna Rakhna","https://adnd2e.fandom.com/wiki/Bakhna_Rakhna"
"Baku","https://adnd2e.fandom.com/wiki/Baku"
"Balaena","https://adnd2e.fandom.com/wiki/Balaena"
"Baldandar","https://adnd2e.fandom.com/wiki/Baldandar"
"Balhiir","https://adnd2e.fandom.com/wiki/Balhiir"
"Balor","https://adnd2e.fandom.com/wiki/Balor"
"Banedead","https://adnd2e.fandom.com/wiki/Banedead"
"Baneguard","https://adnd2e.fandom.com/wiki/Baneguard"
"Banelar","https://adnd2e.fandom.com/wiki/Banelar"
"Banelich","https://adnd2e.fandom.com/wiki/Banelich"
"Banshee","https://adnd2e.fandom.com/wiki/Banshee"
"Baobhan Sith","https://adnd2e.fandom.com/wiki/Baobhan_Sith"
"Barbazu","https://adnd2e.fandom.com/wiki/Barbazu"
"Bargda","https://adnd2e.fandom.com/wiki/Bargda"
"Barghest","https://adnd2e.fandom.com/wiki/Barghest"
"Bariaur (Creature)","https://adnd2e.fandom.com/wiki/Bariaur_(Creature)"
"Bar-lgura","https://adnd2e.fandom.com/wiki/Bar-lgura"
"Barracuda","https://adnd2e.fandom.com/wiki/Barracuda"
"Basilisk","https://adnd2e.fandom.com/wiki/Basilisk"
"Bastellus","https://adnd2e.fandom.com/wiki/Bastellus"
"Bat","https://adnd2e.fandom.com/wiki/Bat"
"Bat (Ravenloft)","https://adnd2e.fandom.com/wiki/Bat_(Ravenloft)"
"Batfly","https://adnd2e.fandom.com/wiki/Batfly"
"Batracine","https://adnd2e.fandom.com/wiki/Batracine"
"Battering Ram (Mammal)","https://adnd2e.fandom.com/wiki/Battering_Ram_(Mammal)"
"Bay Unicorn","https://adnd2e.fandom.com/wiki/Bay_Unicorn"
"Bear","https://adnd2e.fandom.com/wiki/Bear"
"Beast of Chaos","https://adnd2e.fandom.com/wiki/Beast_of_Chaos"
"Beastman (Creature)","https://adnd2e.fandom.com/wiki/Beastman_(Creature)"
"Bebilith (Creature)","https://adnd2e.fandom.com/wiki/Bebilith_(Creature)"
"Beetle","https://adnd2e.fandom.com/wiki/Beetle"
"Beguiler","https://adnd2e.fandom.com/wiki/Beguiler"
"Behemoth","https://adnd2e.fandom.com/wiki/Behemoth"
"Behir","https://adnd2e.fandom.com/wiki/Behir"
"Behir, variant","https://adnd2e.fandom.com/wiki/Behir,_variant"
"Beholder","https://adnd2e.fandom.com/wiki/Beholder"
"Beholder & Beholder-kin","https://adnd2e.fandom.com/wiki/Beholder_&_Beholder-kin"
"Beholder Mage","https://adnd2e.fandom.com/wiki/Beholder_Mage"
"Beholder Minion","https://adnd2e.fandom.com/wiki/Beholder_Minion"
"Belabra","https://adnd2e.fandom.com/wiki/Belabra"
"Belgoi","https://adnd2e.fandom.com/wiki/Belgoi"
"Beljuril Dragon (Creature)","https://adnd2e.fandom.com/wiki/Beljuril_Dragon_(Creature)"
"Belker","https://adnd2e.fandom.com/wiki/Belker"
"Berbalang (Creature)","https://adnd2e.fandom.com/wiki/Berbalang_(Creature)"
"Bezekira","https://adnd2e.fandom.com/wiki/Bezekira"
"Bhaergala","https://adnd2e.fandom.com/wiki/Bhaergala"
"Bheur Hag","https://adnd2e.fandom.com/wiki/Bheur_Hag"
"Bhut","https://adnd2e.fandom.com/wiki/Bhut"
"Bichir","https://adnd2e.fandom.com/wiki/Bichir"
"Biclops","https://adnd2e.fandom.com/wiki/Biclops"
"Big Head","https://adnd2e.fandom.com/wiki/Big_Head"
"Bi-Nou","https://adnd2e.fandom.com/wiki/Bi-Nou"
"Bionoid","https://adnd2e.fandom.com/wiki/Bionoid"
"Bird","https://adnd2e.fandom.com/wiki/Bird"
"Bird (Krynn)","https://adnd2e.fandom.com/wiki/Bird_(Krynn)"
"Bird (MM)","https://adnd2e.fandom.com/wiki/Bird_(MM)"
"Bird (Mystara)","https://adnd2e.fandom.com/wiki/Bird_(Mystara)"
"Bird (Toril)","https://adnd2e.fandom.com/wiki/Bird_(Toril)"
"Bird Maiden","https://adnd2e.fandom.com/wiki/Bird_Maiden"
"Bird of Tyaa","https://adnd2e.fandom.com/wiki/Bird_of_Tyaa"
"Bisan","https://adnd2e.fandom.com/wiki/Bisan"
"Black Cloud of Vengeance","https://adnd2e.fandom.com/wiki/Black_Cloud_of_Vengeance"
"Black Dragon (Creature)","https://adnd2e.fandom.com/wiki/Black_Dragon_(Creature)"
"Black Silt Horror","https://adnd2e.fandom.com/wiki/Black_Silt_Horror"
"Black Unicorn","https://adnd2e.fandom.com/wiki/Black_Unicorn"
"Black Unicorn (Toril)","https://adnd2e.fandom.com/wiki/Black_Unicorn_(Toril)"
"Black Willow","https://adnd2e.fandom.com/wiki/Black_Willow"
"Blackball","https://adnd2e.fandom.com/wiki/Blackball"
"Blackroot Marauder","https://adnd2e.fandom.com/wiki/Blackroot_Marauder"
"Bladeling","https://adnd2e.fandom.com/wiki/Bladeling"
"Blank Creature","https://adnd2e.fandom.com/wiki/Blank_Creature"
"Blazing Bones","https://adnd2e.fandom.com/wiki/Blazing_Bones"
"Blazozoid","https://adnd2e.fandom.com/wiki/Blazozoid"
"Blindheim","https://adnd2e.fandom.com/wiki/Blindheim"
"Blink Dog","https://adnd2e.fandom.com/wiki/Blink_Dog"
"Blink Wooly Mammoth","https://adnd2e.fandom.com/wiki/Blink_Wooly_Mammoth"
"Blood Hound","https://adnd2e.fandom.com/wiki/Blood_Hound"
"Blood Sea Imp","https://adnd2e.fandom.com/wiki/Blood_Sea_Imp"
"Blood Warrior","https://adnd2e.fandom.com/wiki/Blood_Warrior"
